Time(ddMMyy_HHmmssfff) Time(s) x(mm) y(mm) z(mm) rx(deg) ry(deg) rz(deg)
200426_115125297 0.536000000000058 0.575165925060219 3.30459636502906 1.20367230710281 0.811296861262021 0.831167648423199 1.01327856860457
200426_115125313 0.552000000000135 0.575165925060219 3.30459636502906 1.20367230710281 0.811296861262021 0.831167648423199 1.01327856860457
200426_115125329 0.568000000000211 0.575165925060219 3.30459636502906 1.20367230710281 0.811296861262021 0.831167648423199 1.01327856860457
200426_115125345 0.584000000000287 0.575165925060219 3.30459636502906 1.20367230710281 0.811296861262021 0.831167648423199 1.01327856860457
200426_115125361 0.600000000000364 0.575165925060219 3.30459636502906 1.20367230710281 0.811296861262021 0.831167648423199 1.01327856860457
200426_115125441 0.61600000000044 1.08041304245822 5.60557028763185 2.0640468522069 1.40149309714673 1.37922818339727 1.73761731188892
200426_115125458 0.696000000000367 1.08041304245822 5.60557028763185 2.0640468522069 1.40149309714673 1.37922818339727 1.73761731188892
200426_115125473 0.711999999999989 1.08041304245822 5.60557028763185 2.0640468522069 1.40149309714673 1.37922818339727 1.73761731188892
200426_115125488 0.728000000000065 1.08041304245822 5.60557028763185 2.0640468522069 1.40149309714673 1.37922818339727 1.73761731188892
200426_115125504 0.744000000000142 1.08041304245822 5.60557028763185 2.0640468522069 1.40149309714673 1.37922818339727 1.73761731188892
200426_115125520 0.760000000000218 1.08041304245822 5.60557028763185 2.0640468522069 1.40149309714673 1.37922818339727 1.73761731188892
200426_115125536 0.776000000000295 1.08041304245822 5.60557028763185 2.0640468522069 1.40149309714673 1.37922818339727 1.73761731188892
200426_115125551 0.792000000000371 1.08041304245822 5.60557028763185 2.0640468522069 1.40149309714673 1.37922818339727 1.73761731188892
200426_115125567 0.807999999999993 1.08041304245822 5.60557028763185 2.0640468522069 1.40149309714673 1.37922818339727 1.73761731188892
200426_115125583 0.824000000000069 1.08041304245822 5.60557028763185 2.0640468522069 1.40149309714673 1.37922818339727 1.73761731188892
200426_115125599 0.840000000000146 1.08527301171884 5.80549066808209 2.06117941791734 1.44414767027827 1.44051319270596 1.80310749310159
200426_115125678 0.856000000000222 1.18995215177053 6.40690691406206 2.32068043276985 1.59514842008677 1.58759703090344 1.97161200142001
200426_115125694 0.936000000000149 1.39688044724365 7.50977921579664 2.84111617961958 1.90471368030643 1.90649632667388 2.38374988290783
200426_115125710 0.952000000000226 1.75296815367916 9.21170232796544 3.53152132559649 2.31995210844307 2.28201571386941 2.82734673500403
200426_115125726 0.968000000000302 1.75296815367916 9.21170232796544 3.53152132559649 2.31995210844307 2.28201571386941 2.82734673500403
200426_115125758 0.984000000000378 1.75296815367916 9.21170232796544 3.53152132559649 2.31995210844307 2.28201571386941 2.82734673500403
200426_115125822 1.01600000000008 1.75296815367916 9.21170232796544 3.53152132559649 2.31995210844307 2.28201571386941 2.82734673500403
200426_115125933 1.08000000000038 1.75296815367916 9.21170232796544 3.53152132559649 2.31995210844307 2.28201571386941 2.82734673500403
200426_115125949 1.19200000000001 1.91970680227801 10.5136674578358 3.91503797929613 2.61256562418465 2.63295922515254 3.2715500253189
200426_115126020 1.20800000000008 1.92213678690833 10.613627648061 3.91360426215135 2.6414637049447 2.62174924555488 3.31754676645058
200426_115126045 1.28900000000021 2.07672551235555 11.4157918268057 4.30428950157483 2.8408410137333 2.82530087937813 3.5555848347114
200426_115126060 1.30400000000009 2.31541481036363 12.0133047540084 4.51877894383728 3.01207866007452 3.03963117244664 3.74818322423106
200426_115126076 1.32000000000016 2.31541481036363 12.0133047540084 4.51877894383728 3.01207866007452 3.03963117244664 3.74818322423106
200426_115126092 1.33600000000024 2.37261434965014 12.5139332574486 4.64566201697397 3.13066486682358 3.14758572461866 3.92812321135445
200426_115126108 1.35200000000032 2.37261434965014 12.5139332574486 4.64566201697397 3.13066486682358 3.14758572461866 3.92812321135445
200426_115126124 1.36800000000039 2.42252393504566 12.7146811902134 4.776846241545 3.19739919734182 3.17052552909924 3.96660603638108
200426_115126140 1.38500000000022 2.42252393504566 12.7146811902134 4.776846241545 3.19739919734182 3.17052552909924 3.96660603638108
200426_115126156 1.40000000000009 2.33299404800002 12.7162190734447 4.73232619840974 3.19739919734182 3.17052552909924 3.96660603638108
200426_115126172 1.41600000000017 2.42495391967597 12.8146413804386 4.77541252440022 3.17553880477851 3.2072613224259 3.99511197375683
200426_115126190 1.43200000000024 2.42495391967597 12.8146413804386 4.77541252440022 3.17553880477851 3.2072613224259 3.99511197375683
200426_115126204 1.44800000000032 2.34328333174544 13.1192528222057 4.95017460441653 3.28730354866334 3.28972825839256 4.10070988398706
200426_115126221 1.4640000000004 2.34328333174544 13.1192528222057 4.95017460441653 3.28730354866334 3.28972825839256 4.10070988398706
200426_115126251 1.48100000000022 2.39319291714098 13.3200007549706 5.08135882898756 3.33235977323578 3.34926326589472 4.16782926536522
200426_115126299 1.51200000000017 2.50273202645333 14.1213373814007 5.33799240955051 3.49715823513966 3.51568397783211 4.4156798647886
200426_115126315 1.5600000000004 2.60198185202024 14.5196402590699 5.37677758410666 3.60958706073506 3.59747978231171 4.52178013963995
200426_115126348 1.5920000000001 2.60198185202024 14.5196402590699 5.37677758410666 3.60958706073506 3.59747978231171 4.52178013963995
200426_115126412 1.60800000000017 2.69151173906586 14.5181023758387 5.42129762724193 3.60958706073506 3.59747978231171 4.52178013963995
200426_115126428 1.67300000000023 2.83581118076769 14.9172328058225 5.59413446065861 3.73848539961223 3.75031895626987 4.64924544894335
200426_115126444 1.6880000000001 2.83581118076769 14.9172328058225 5.59413446065861 3.73848539961223 3.75031895626987 4.64924544894335
200426_115126464 1.70400000000018 2.8010508483782 15.3194390022688 5.67793120780487 3.8134307820334 3.7972720841573 4.76304993537234
200426_115126476 1.72000000000025 2.8010508483782 15.3194390022688 5.67793120780487 3.8134307820334 3.7972720841573 4.76304993537234
200426_115126508 1.73600000000033 2.84853044914345 15.4202267448085 5.81054914952063 3.85915215440219 3.85630313938741 4.83063201007923
200426_115126524 1.76900000000023 2.85339041840408 15.6201471252588 5.80768171523107 3.92644962867185 3.87846703578603 4.86961018289294
