Time(s) x(mm) y(mm) z(mm) rx(deg) ry(deg) rz(deg)
0 0 0 0 -7.95138670365879E-16 0 -8.6968292071268E-16
0 0 0 0 -7.95138670365879E-16 0 -8.6968292071268E-16
0.0160000000005311 0.108885430698052 0.0992614348742791 0.0910556452308242 -7.95138670365879E-16 0 -8.6968292071268E-16
0.0799999999999272 0.435541722792209 0.397045739497116 0.364222580923183 -7.95138670365879E-16 0 -8.6968292071268E-16
0.113000000000284 0.872947216750731 0.80131342224314 0.828166623391837 -7.95138670365879E-16 0 -8.6968292071268E-16
0.128000000000611 1.08341173167301 0.90037400915844 1.01761764101514 -7.95138670365879E-16 0 -8.6968292071268E-16
0.144000000000233 1.19960350884489 1.09909772686598 1.1013335590842 -7.95138670365879E-16 0 -8.6968292071268E-16
0.193000000000211 1.31035271070922 1.20558110498916 1.29211066586038 -7.95138670365879E-16 0 -8.6968292071268E-16
0.239999999999782 1.42654448788113 1.40430482269659 1.37582658392944 -7.95138670365879E-16 0 -8.6968292071268E-16
0.391999999999825 2.52643268366805 2.51082534077045 2.47848623216646 -7.95138670365879E-16 0 -8.6968292071268E-16
0.423999999999978 2.52829645483433 2.5180472840193 2.57820769371187 -7.95138670365879E-16 0 -8.6968292071268E-16
0.472000000000662 2.85308897576223 2.80860964539323 2.75165316785888 -7.95138670365879E-16 0 -8.6968292071268E-16
0.552000000000589 3.62632087945502 3.61734585884415 3.58114588040354 -7.95138670365879E-16 0 -8.6968292071268E-16
0.600000000000364 3.74437642779321 3.82329151980053 3.76458326001796 -7.95138670365879E-16 0 -8.6968292071268E-16
0.648000000000138 3.85512562965755 3.92977489792366 3.95536036679414 -7.95138670365879E-16 0 -8.6968292071268E-16
0.695999999999913 4.29066735244973 4.32682063742084 4.31958294771738 -7.95138670365879E-16 0 -8.6968292071268E-16
0.744000000000597 4.83695827710631 4.83034975504108 4.87458263541674 -7.95138670365879E-16 0 -8.6968292071268E-16
0.792000000000371 5.05286536733615 5.02165068154085 4.95697246433298 -7.95138670365879E-16 0 -8.6968292071268E-16
0.832000000000335 4.84426462358013 4.92981203787434 4.86724290825498 -7.95138670365879E-16 0 -8.6968292071268E-16
0.864000000000487 4.73351542171582 4.82332865975121 4.6764658014788 -7.95138670365879E-16 0 -8.6968292071268E-16
0.912000000000262 4.27963346364336 4.21291446808993 4.12747975178831 -7.95138670365879E-16 0 -8.6968292071268E-16
