Time(ddMMyy_HHmmssfff) Time(s) x(mm) y(mm) z(mm) rx(deg) ry(deg) rz(deg)
200426_105656531 7.35199999999998 0.674136049358125 3.82828926239165 1.44904862251502 0.945550933253482 0.962487820424975 1.1948791577585
200426_105656546 7.36799999999994 0.787021337206468 3.63288204008393 1.35379669729889 0.924259360373109 0.939585211364001 1.12403265523812
200426_105656753 7.577 0.400055960932036 1.7167065386322 0.626796528659952 0.439301718994802 0.425354477946921 0.513599119152996
200426_105656786 7.59199999999998 0.31335184239893 1.51317583530073 0.521641173918567 0.384270223585817 0.366568512398533 0.455251545157908
200426_105656976 7.79200000000003 0.0785544997027614 0.40336432699354 0.105481800731013 0.109280402977296 0.118353614492875 0.115987398964408
200426_105657008 7.82399999999996 0.182424012308658 0.307509255674404 0.110270292498797 0.0546103026885491 0.0592037340826051 0.0579661228361054
200426_105657200 8.01599999999996 0.00494096582727366 0.000364660842592457 -0.0998771939893004 2.48480834489337E-17 3.9756933518294E-16 3.72721251734006E-17
200426_105657423 8.24099999999999 0.0605229492178694 0.602468628970598 0.305562634699129 0.129963876146744 0.142043111762606 0.186363051809876
200426_105657630 8.44799999999998 0.382024410447173 1.91581084060914 0.826877362628068 0.494393344300531 0.484085779770955 0.572002292477006
200426_105657661 8.48099999999999 0.364859016374382 2.21519661525986 0.927244225601669 0.57054649133969 0.566035762109545 0.701083872422927
200426_105657851 8.67200000000003 0.656970655285335 4.1276750370422 1.54941548548868 1.03627729325896 1.00868858689834 1.29014020160408
200426_105657867 8.68799999999999 0.738733807991196 4.33084107953118 1.75444803421937 1.09205982159976 1.06672937477375 1.34916070892167
200426_105658074 8.89599999999996 1.39976828093462 6.75842120083138 2.59699665610924 1.69689018990381 1.68844367404964 2.08501168803214
200426_105658106 8.928 1.27873337425594 7.15366204680117 2.692575027315 1.76200674440779 1.80255915808729 2.25083290803401
200426_105658313 9.12799999999993 1.7311626655755 9.6726708380661 3.62526063666377 2.41157784361508 2.40184126232567 3.03167167484388
200426_105658329 9.14499999999998 1.91766148729933 9.88026328190944 3.73536770616772 2.46896497374093 2.4583113764975 3.09214568459422
200426_105658534 9.35199999999998 2.37824039744922 12.1994384495122 4.66772686952692 3.05639166665528 3.07518359654679 3.80733779162956
200426_105658566 9.38499999999999 2.35292538454608 12.698657847825 4.76842017849003 3.17303542489326 3.13782781511897 3.97758503911771
200426_105658768 9.577 2.55746674851184 14.3073240936024 5.38515005463006 3.59295834861038 3.5805511858923 4.51547623128654
200426_105658960 9.77599999999995 2.78818928179285 15.5170524137405 5.8014726508124 3.87512258327656 3.88997721169828 4.86018789505457
200426_105658992 9.80799999999999 2.87896820974115 15.6206663052409 5.906464782559 3.91089609151871 3.87545108443028 4.89735010255733
200426_105659184 10 2.95752270944388 16.0240306322345 6.01194658329013 3.99340321882283 3.99949023435784 4.98435713146139
200426_105659236 10.0319999999999 2.96159751885907 15.9241138204035 6.01178336029534 3.99340321882283 3.99949023435784 4.98435713146139
200426_105659407 10.2239999999999 2.98777868817429 15.5251758947643 5.8113760803376 3.87512258327656 3.88997721169828 4.86018789505457
200426_105659443 10.241 2.99679446341672 15.4256237437758 5.71133566335362 3.81607685931667 3.83512699892238 4.79819276712332
200426_105659653 10.4639999999999 2.6834426210178 13.9124479084751 5.189694489435 3.45244933342934 3.44974338575089 4.31984145325512
200426_105659859 10.672 2.30870167298892 11.6965219715301 4.46220465181182 2.95305789661617 2.92888885662628 3.65004378574196
200426_105700058 10.88 1.84812276283898 9.37734680392737 3.52984548845274 2.31887687827214 2.35845273021308 2.93454089040418
200426_105700090 10.896 1.75647767847863 9.17345143975331 3.52456732770054 2.30961944789411 2.30223610411396 2.82794059584943
200426_105700280 11.097 1.20511984038045 6.75066238065011 2.4872160325948 1.64885325686969 1.68798012366363 2.1313741391119
200426_105700312 11.1279999999999 1.32615474705914 6.35542153468037 2.39163766138893 1.58399591870655 1.57363910554523 1.96576383502786
200426_105700535 11.337 0.77393075254885 3.83235100290352 1.45400033727765 0.945550933253482 0.962487820424975 1.1948791577585
200426_105700726 11.544 0.292111638910967 1.9124784217824 0.622171259886954 0.446276972037298 0.483521413230593 0.618574033962612
200426_105700765 11.577 0.31335184239893 1.51317583530073 0.521641173918567 0.370288836822641 0.401367380102825 0.489646310804338
200426_105700956 11.768 0.16933342765104 0.506978218493941 0.210473932477669 0.109280402977296 0.118353614492875 0.115987398964408
