Time(s) x(mm) y(mm) z(mm) rx(deg) ry(deg) rz(deg)
0 0.043652674485628 -1.93524482834101 -0.965878821793694 -3.29232772662323 1.70765900793546 0.934534100102682
0 0.0606689785144567 -1.73670541983586 -0.948774767665498 -3.27428866699135 1.63817797922723 0.911765175430033
0.0180000000000291 0.0606689785144567 -1.73670541983586 -0.948774767665498 -3.23930707942637 1.64743826212288 0.877712869034908
0.0340000000001055 0.077685282543257 -1.53816601133065 -0.931670713537358 -3.20699572342023 1.61097208721951 0.889498273706522
0.0509999999999309 0.0861934345576572 -1.4388963070781 -0.923118686473231 -3.18622988901444 1.58726853329757 0.820837755067044
0.0639999999998508 0.0947015865720857 -1.33962660282549 -0.914566659409161 -3.11889156772095 1.56014810427322 0.798527903384658
0.0779999999999745 0.105031517137576 -1.23193017346085 -1.00564229630839 -3.13309609262475 1.52714992792441 0.763908685319979
0.141000000000076 0.202264746398271 -0.123109976458181 -1.11082532653023 -2.84982974167025 1.30632929895038 0.467341863954248
0.405999999999949 0.324456696331595 2.40939852751001 -1.39625448534235 -1.40563547466573 0.788423265990574 -0.585320379802332
0.474999999999909 0.442915522093898 2.60773238903414 -1.47768657957999 -1.30010410943597 0.820694330673732 -0.687773563589996
0.606999999999971 0.540148751354593 3.71655258603676 -1.58286960980178 -1.0552782843456 1.81772485648638 -0.95197146950352
0.672000000000025 0.450857938737727 3.83288128749456 -1.67503676229853 -1.04006959924632 1.89789400979183 -0.961235661048412
0.726000000000113 0.476382394780927 4.13069040025226 -1.64938068110627 -0.984468574933661 1.88772391417153 -1.0641678285701
0.740999999999985 0.484890546795356 4.22996010450487 -1.6408286540422 -0.998212432297398 1.85502904045674 -1.09981547265135
0.847999999999956 0.620365676586459 4.62683337453421 -1.70515669415175 -0.955033639372033 1.85992750740082 -1.28328438268371
0.90099999999984 0.63920375916635 4.83379950815146 -1.78768030398692 -1.0021625701947 1.86342551582004 -1.33010149414833
0.94399999999996 0.658041841746297 5.04076564176881 -1.87020391382208 -1.04705538780652 1.96214179612287 -1.46654668866376
1 0.685388076340615 5.34700147963861 -1.94417549659318 -1.05781429112033 2.07242798319905 -1.63655470378511
1.04700000000003 0.685388076340615 5.34700147963861 -1.94417549659318 -1.03703318413369 2.05128867116362 -1.7058443022192
1.10500000000002 0.712734310934934 5.6532373175084 -2.01814707936433 -0.974301855608263 2.1760943495706 -1.71273620800131
1.15099999999984 0.729750614963763 5.85177672601355 -2.00104302523613 -0.732436620805366 2.49397755965056 -1.79018475038478
1.221 0.7504104760948 6.067169584743 -2.18319429903465 -0.539577948935262 2.76829540747112 -1.86840195933021
1.26299999999992 0.7504104760948 6.067169584743 -2.18319429903465 -0.505734410913431 2.73220674394341 -1.85727817365138
1.33699999999999 0.662941442029052 6.19192501131289 -2.37498911549471 -0.180093645557701 2.62172997332042 -1.6684025194404
1.37199999999984 0.67327137259457 6.29962144067758 -2.466064752394 0.0638458889243592 2.55058795749363 -1.53768100489614
1.4369999999999 0.676914929696807 6.31647489090182 -2.66532008032073 0.27301293650212 2.46704322342584 -1.3736505805384
1.48199999999997 0.76984929941591 6.21699963966819 -2.77240825575069 0.401913657846163 2.47161087026131 -1.3120976496018
