Time(ddMMyy_HHmmssfff) Time(s) x(mm) y(mm) z(mm) rx(deg) ry(deg) rz(deg)
200426_132637580 0.680000000000291 0.824045521840816 3.81375421217876 1.36609947918265 0.948720805865904 0.981701386410037 1.16842505135924
200426_132637595 0.695999999999913 0.705288044046029 4.01502889982675 1.43948313935294 0.996050672428871 0.994379573545841 1.2815031148998
200426_132637611 0.712999999999738 0.760209175665914 4.31739848108771 1.65292237105535 1.11515302097295 1.07687147643742 1.37356620407561
200426_132637624 0.727999999999156 0.857797490686117 4.31733603253241 1.67475163745848 1.11515302097295 1.07687147643742 1.37356620407561
200426_132637641 0.743999999998778 0.858455206388165 4.51732092927136 1.67238341315374 1.13352495578151 1.14749526083296 1.39534871659264
200426_132637655 0.760000000000218 0.816116880838919 4.91974540745701 1.86280926630064 1.24945625316353 1.18309893894815 1.53855815668817
200426_132637671 0.777000000000044 0.989466632402625 4.92084785270038 2.00404894998508 1.26794617674761 1.25369786085872 1.56043474198572
200426_132637746 0.792999999999665 0.893522606637532 5.42087254310303 1.97629912282002 1.33415062767583 1.33639623586054 1.69566371339539
200426_132637763 0.864999999999782 1.00369372772838 6.12560415399429 2.40199347407253 1.55648932218009 1.53541336727663 1.91347458673118
200426_132637779 0.8799999999992 1.19887035776875 6.12547925688375 2.44565200687879 1.55648932218009 1.53541336727663 1.91347458673118
200426_132637795 0.895999999998821 1.12376663692729 6.32429925982416 2.32387336529268 1.60788407407 1.59395127686221 1.97614082951771
200426_132637810 0.912000000000262 1.15718974792156 6.72788863180836 2.633709635721 1.67475360064609 1.67600587543757 2.11186952453313
200426_132637826 0.927999999999884 1.35236637796192 6.72776373469787 2.67736816852727 1.71086482786525 1.71087081079123 2.10162851993937
200426_132637841 0.944999999999709 1.27726265712044 6.92658373763823 2.55558952694116 1.72632006160011 1.73439685000364 2.17466684547054
200426_132637856 0.959999999999127 1.21309745309452 7.33023555817766 2.84359653096624 1.84680213093647 1.8153625542982 2.26796608108239
200426_132637871 0.975999999998749 1.38644720465823 7.33133800342102 2.98483621465073 1.915674521489 1.83794352630635 2.29843131550398
200426_132637887 0.992000000000189 1.31134348381676 7.53015800636138 2.86305757306462 1.89853470082978 1.87359545946724 2.33090862153613
200426_132637902 1.00900000000001 1.38842035176436 7.93129269363794 2.97773154173655 1.96596194148094 1.95509435463752 2.4670612488486
200426_132637918 1.02499999999964 1.56209896117908 8.0323875872507 3.11778711326855 2.03493767130318 1.97751888087058 2.49763331005882
200426_132637933 1.03199999999924 1.58392583965574 8.03116024489685 3.02020596239043 2.03493767130318 1.97751888087058 2.49763331005882
200426_132637949 1.04799999999886 1.44334148338427 8.23366227489879 3.1911707734389 2.06983534248532 2.07121001918774 2.5932628502981
200426_132637965 1.06400000000031 1.63983354482871 8.63350717126627 3.23009285763567 2.19095923353662 2.1514519745779 2.68713814537635
200426_132637980 1.07999999999993 1.73742185984892 8.63344472271103 3.25192212403886 2.19095923353662 2.1514519745779 2.68713814537635
200426_132637995 1.09699999999975 1.64049126053074 8.83349206800523 3.22772463333092 2.18978854986867 2.21022967949372 2.79295589144448
200426_132638011 1.11199999999917 1.5981529349815 9.23591654619088 3.41815048647777 2.31118831208191 2.29016386844696 2.88707120110555
200426_132638026 1.12799999999879 1.79332956502188 9.2357916490804 3.46180901928409 2.34755845185736 2.32490548132952 2.87711551052143
200426_132638042 1.14400000000023 1.69639896570375 9.43583899437459 3.43761152857621 2.36349637609282 2.34788458947255 2.95047768439997
200426_132638058 1.16100000000006 1.6540606401545 9.83826347256013 3.62803738172312 2.46830554911559 2.46316479099174 3.07744913129053
200426_132638074 1.17699999999968 1.92499870673838 9.83930346924819 3.79110633181068 2.50473670431877 2.49787632560551 3.06756764817069
200426_132638096 1.19999999999891 1.73113750810209 10.2393981598368 3.74271135039493 2.53689275703081 2.54354215132723 3.21447330787863
200426_132638120 1.22400000000016 1.98090641191136 10.4416503956176 4.00099322705603 2.62600268083031 2.63568027385189 3.26830373654203
200426_132638136 1.24099999999999 1.98123526976239 10.5416428439871 3.99980911490366 2.65893646343776 2.62274096599586 3.30916838367645
200426_132638151 1.25699999999961 1.96072382268979 10.9428399798189 4.09265381717233 2.72786533855202 2.70274306497613 3.44646167117507
200426_132638166 1.27199999999903 2.13440243210452 11.0439348734316 4.23270938870439 2.76442668832071 2.73739129352859 3.43670354027047
200426_132638181 1.27999999999884 2.15622931058117 11.0427075310778 4.13512823782622 2.74771889800747 2.77306097941269 3.4693783926745
200426_132638197 1.29600000000028 2.03747183278639 11.2439822187259 4.20851189799652 2.81726874705935 2.79463466889814 3.50055109490447
200426_132638212 1.3119999999999 2.07089494378065 11.6475715907101 4.51834816842478 2.92314700610801 2.90895726471476 3.62840656114086
200426_132638228 1.32899999999972 2.28756959444663 11.5462269028762 4.46560966250524 2.92314700610801 2.90895726471476 3.62840656114086
200426_132638244 1.34399999999914 2.1906389951285 11.7462742481705 4.44141217179737 2.93953877638504 2.93142939269375 3.70207261067823
200426_132638260 1.35999999999876 2.14830066957925 12.1486987263561 4.63183802494427 3.06233135469394 3.00977448387691 3.79744475220117
200426_132638275 1.3760000000002 2.32165042114299 12.1498011715994 4.7730777086287 3.09900940846921 3.04436670222198 3.78782903893575
200426_132638291 1.39300000000003 2.24621784245044 12.2486287261704 4.65248317919503 3.08245049222093 3.08002903131339 3.82059185977962
200426_132638306 1.40899999999965 2.2038795169012 12.6510532043559 4.84290903234188 3.15224884080954 3.15923584501656 3.9585416349961
200426_132638321 1.42399999999907 2.39905614694159 12.6509283072455 4.8865675651482 3.22207730663481 3.18038069822385 3.99000124674431
200426_132638337 1.43999999999869 2.39938500479261 12.750920755615 4.88538345299582 3.22207730663481 3.18038069822385 3.99000124674431
