Time(s) x(mm) y(mm) z(mm) rx(deg) ry(deg) rz(deg)
0 1.98951966012828E-13 0 -1.13686837721616E-13 -2.98177001387205E-16 0 4.96961668978674E-16
0 1.98951966012828E-13 0 -1.13686837721616E-13 -2.98177001387205E-16 0 4.96961668978674E-16
0.0310000000000059 1.98951966012828E-13 0 -1.13686837721616E-13 -2.98177001387205E-16 0 4.96961668978674E-16
0.0960000000000036 1.98951966012828E-13 0 -1.13686837721616E-13 0.0365659228842794 0.0436323422855142 0.0197410737222996
0.12700000000001 0.0781928916841537 -0.0248013904723052 0.0571905824479018 0.0365659228842794 0.0436323422855142 0.0197410737222996
0.144000000000005 1.98951966012828E-13 0 -1.13686837721616E-13 0.0365659228842794 0.0436323422855142 0.0197410737222996
0.206999999999994 0.0206086065583975 0.0968707887126357 0.0138324122956419 0.0365659228842794 0.0436323422855142 0.0197410737222996
0.430999999999983 1.98951966012828E-13 0 -1.13686837721616E-13 -2.98177001387205E-16 0 4.96961668978674E-16
0.447000000000003 1.98951966012828E-13 0 -1.13686837721616E-13 -0.00295505070806889 0.0324831114448128 0.0376237405619798
0.526999999999987 0.0988014982423238 0.0720693982403304 0.0710229947437711 0.0636354991247699 0.00757020344348662 0.0362099059733219
0.632000000000005 0.0206086065583975 0.0968707887126357 0.0138324122956419 0.0365659228842794 0.0436323422855142 0.0197410737222996
0.742999999999995 1.98951966012828E-13 0 -1.13686837721616E-13 -2.98177001387205E-16 0 4.96961668978674E-16
0.855000000000018 -0.101296125734308 -0.313473318687613 0.17740792931022 0.232954805508888 -0.175564316497347 -0.0633613918234726
0.903999999999996 -0.143760652596882 -0.627916856336526 0.273958566745591 0.466217431712914 -0.3507663449755 -0.127272593529192
1.03100000000001 -0.24380946458524 -0.820688214800441 0.32715103402893 0.656930942844189 -0.504736591592243 -0.135810172589204
1.15899999999999 -0.2492983128802 -1.35367472034693 0.453227429320805 1.097700748445 -0.817493913409556 -0.282296969869461
1.22300000000001 -0.34934712486853 -1.5464460788109 0.506419896604029 1.15516566574021 -0.921995927648574 -0.288042822084386
1.27100000000002 -0.471251857161207 -1.95679018621104 0.669995413618608 1.31933561992147 -1.03927426542075 -0.313966981805969
1.33499999999998 -0.593156589453969 -2.36713429361123 0.833570930633073 1.5106521313056 -1.19260101045574 -0.324023917084405
1.399 -0.613765196012139 -2.46400508232387 0.819738518337317 1.53767607616475 -1.22878479986277 -0.307933960396325
1.488 -0.958870786332113 -3.59816661581186 1.32429748167669 1.72905711595726 -1.38202590676077 -0.318338205327745
1.536 -1.1013841251829 -4.10538151192475 1.4740405863954 1.78658212037665 -1.48651894938866 -0.324625476637524
1.59899999999999 -1.18082433061312 -4.20128208167608 1.5410654659745 1.78658212037665 -1.48651894938866 -0.324625476637524
1.64699999999999 -1.34394627602217 -4.80536776650155 1.67697615839734 1.87693182725329 -1.51500299055847 -0.272403117919204
1.71100000000001 -1.67019016684031 -6.01353913615253 1.94879754324324 2.02105262087108 -1.6159658186687 -0.188119025001619
1.75900000000001 -1.77148629257479 -6.32701245484009 2.12620547255347 2.0843635908607 -1.60825998050522 -0.151861327210433
1.82299999999998 -1.8539207188075 -6.71449560969069 2.07087582337022 2.11124363055254 -1.64450188475184 -0.135851755441613
1.85500000000002 -1.99643405765843 -7.22171050580357 2.22061892808904 2.17087976246967 -1.60475951555086 -0.0610534527973781
1.911 -2.42147944671868 -8.50195127369489 2.42141731819106 2.31091574698563 -1.67381311480324 0.0618701302083118
1.959 -2.44333536702311 -8.71952402263116 2.5318003679223 2.3777969207288 -1.69818561716826 0.0596971392714712
2.024 -2.50640850044383 -9.13083834899265 2.61451859306203 2.40088087694087 -1.70242693322587 0.114277280385581
2.05500000000001 -2.66953044585281 -9.73492403381817 2.75042928548487 2.38382051756078 -1.71852862936083 0.187040782160418
2.13499999999999 -3.05585324928913 -11.0628271447314 3.22732342423274 2.48315164388138 -1.79954502656792 0.328316764962243
2.17500000000001 -3.07646185584733 -11.1596979334441 3.21349101193687 2.50978551802643 -1.83583973233285 0.344349924183564
2.24700000000001 -3.24083111500266 -11.8844855784931 3.47361716638693 2.55927312757012 -1.87636852373549 0.415026613691282
2.26299999999998 -3.36148853354911 -12.1741277256697 3.51297722137429 2.58211498175735 -1.88059652211635 0.469683629805367
2.279 -3.42456166696982 -12.5854420520312 3.59569544651401 2.635207746105 -1.95321872506233 0.501766180632106
2.29500000000002 -3.54646639926258 -12.9957861594315 3.75927096352859 2.65797234087713 -1.95745178292279 0.556448662832453
2.375 -3.68897973811343 -13.5030010555444 3.90901406824719 2.68071029666349 -1.96168210034275 0.611142041005575
2.423 -3.75205287153418 -13.9143153819058 3.99173229338692 2.77014468923796 -1.99050202788915 0.663706976641666
2.488 -4.07704944860618 -15.0017847913333 4.13933821620583 3.06206541357 -1.94869936527263 0.792020551173106
2.51900000000001 -4.21831547371079 -15.3882977272225 4.16486585889731 3.15134080970474 -1.9775573899731 0.84475968793939
2.584 -4.29900299288718 -15.6049002571974 4.35610620050352 3.24056094140994 -2.00643217175195 0.897527555339576
2.63200000000001 -4.38143741911989 -15.992383412048 4.30077655132027 3.33593741924458 -1.92307344773619 0.993983311260631
2.69499999999999 -4.68582538963364 -16.9829820327628 4.46221488643482 3.77493209896576 -1.87077479844847 1.25293183508793
2.72800000000001 -4.80648280818014 -17.2726241799394 4.50157494142229 3.89626809957693 -1.82392304008641 1.36628170253528
2.839 -4.82833872848451 -17.4901969288756 4.61195799115353 3.9912799855869 -1.74067110018346 1.46384150112209
